epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,349.862,0.91102,0.45677,0.8479,0.94696,0.95088,0.98187,0.64419,1.26686,0.57568,0.88651,0.0001684,0.0001684,0.0001684
86,356.458,0.88718,0.46357,0.84326,0.94866,0.94387,0.98044,0.65985,1.23253,0.57338,0.88115,0.0001585,0.0001585,0.0001585
87,361.925,0.86158,0.45994,0.83797,0.94998,0.94374,0.98153,0.65438,1.22281,0.56342,0.8803,0.0001486,0.0001486,0.0001486
88,366.7,0.88001,0.45546,0.83822,0.95289,0.94355,0.98168,0.65965,1.21834,0.56507,0.87847,0.0001387,0.0001387,0.0001387
89,371.006,0.83301,0.44249,0.83765,0.95512,0.9428,0.98184,0.65123,1.22431,0.55721,0.87966,0.0001288,0.0001288,0.0001288
90,377.152,0.83746,0.44775,0.8314,0.95801,0.94254,0.98184,0.65323,1.22888,0.5567,0.88001,0.0001189,0.0001189,0.0001189
91,396.452,0.84446,0.45829,0.82634,0.95849,0.94647,0.98203,0.65551,1.24187,0.56174,0.88432,0.000109,0.000109,0.000109
92,400.875,0.83446,0.45265,0.8456,0.95763,0.94222,0.98168,0.65143,1.25967,0.56714,0.88895,9.91e-05,9.91e-05,9.91e-05
93,404.618,0.81595,0.44632,0.84132,0.95853,0.94244,0.9831,0.65014,1.2686,0.57578,0.89099,8.92e-05,8.92e-05,8.92e-05
94,407.979,0.81762,0.44011,0.8318,0.95941,0.94277,0.98295,0.63922,1.27264,0.58621,0.8924,7.93e-05,7.93e-05,7.93e-05
95,411.005,0.82058,0.44177,0.83409,0.95845,0.94274,0.98165,0.63621,1.26891,0.58579,0.89149,6.94e-05,6.94e-05,6.94e-05
96,414.827,0.77521,0.42773,0.81068,0.95866,0.94261,0.98165,0.63791,1.26939,0.59785,0.88907,5.95e-05,5.95e-05,5.95e-05
97,418.823,0.79965,0.43625,0.83597,0.95872,0.94261,0.98165,0.64152,1.26629,0.59853,0.88899,4.96e-05,4.96e-05,4.96e-05
98,422.808,0.7785,0.43107,0.83626,0.96066,0.94086,0.98142,0.63653,1.2619,0.59488,0.88899,3.97e-05,3.97e-05,3.97e-05
99,427.112,0.76544,0.41983,0.81861,0.9612,0.94104,0.98142,0.63396,1.26081,0.58963,0.88915,2.98e-05,2.98e-05,2.98e-05
100,431.481,0.79842,0.42399,0.82765,0.96105,0.94128,0.98002,0.63965,1.25855,0.59206,0.88839,1.99e-05,1.99e-05,1.99e-05
